,time,volume,open,close,high,low
0,2020-01-03 07:00:00+00:00,465132,255.97,255.77,256.97,255.52
1,2020-01-03 08:00:00+00:00,375414,255.78,257.01,257.05,255.52
2,2020-01-03 09:00:00+00:00,406107,257.0,257.2,258.19,256.77
3,2020-01-03 10:00:00+00:00,305293,257.2,256.45,257.6,256.06
4,2020-01-03 11:00:00+00:00,514390,256.45,254.65,256.75,254.56
5,2020-01-03 12:00:00+00:00,455416,254.64,254.97,255.0,253.7
6,2020-01-03 13:00:00+00:00,254699,254.95,254.5,255.1,254.3
7,2020-01-03 14:00:00+00:00,305962,254.51,254.35,254.96,254.3
8,2020-01-03 15:00:00+00:00,500003,254.35,255.0,255.16,254.1
9,2020-01-06 07:00:00+00:00,457826,254.75,252.1,254.84,252.03
10,2020-01-06 08:00:00+00:00,399777,252.1,252.05,253.92,251.76
11,2020-01-06 09:00:00+00:00,248520,252.05,251.71,252.45,251.4
12,2020-01-06 10:00:00+00:00,124679,251.72,251.84,252.14,251.5
13,2020-01-06 11:00:00+00:00,76401,251.8,252.01,252.14,251.4
14,2020-01-06 12:00:00+00:00,138600,252.01,252.17,252.5,251.72
15,2020-01-06 13:00:00+00:00,173004,252.11,252.46,252.65,251.7
16,2020-01-06 14:00:00+00:00,193300,252.4,252.49,252.74,252.1
17,2020-01-06 15:00:00+00:00,420687,252.47,253.9,253.9,252.47
18,2020-01-08 07:00:00+00:00,719448,253.62,255.06,255.7,253.03
19,2020-01-08 08:00:00+00:00,840176,255.07,256.28,258.0,255.02
20,2020-01-08 09:00:00+00:00,316175,256.31,256.78,257.43,256.26
21,2020-01-08 10:00:00+00:00,256626,256.86,256.91,256.98,255.81
22,2020-01-08 11:00:00+00:00,375353,256.91,256.87,257.25,256.65
23,2020-01-08 12:00:00+00:00,329867,256.88,257.84,257.99,256.75
24,2020-01-08 13:00:00+00:00,460959,257.87,258.14,258.69,257.02
25,2020-01-08 14:00:00+00:00,233057,258.21,258.72,258.86,257.95
26,2020-01-08 15:00:00+00:00,541942,258.71,259.15,259.15,258.32
27,2020-01-09 07:00:00+00:00,851818,259.41,261.1,261.76,259.36
28,2020-01-09 08:00:00+00:00,641581,261.05,258.97,261.09,258.68
29,2020-01-09 09:00:00+00:00,227308,259.0,259.75,259.87,258.28
30,2020-01-09 10:00:00+00:00,326265,259.73,258.97,260.94,258.89
31,2020-01-09 11:00:00+00:00,295208,258.97,259.48,259.54,258.74
32,2020-01-09 12:00:00+00:00,402513,259.48,258.38,259.86,257.55
33,2020-01-09 13:00:00+00:00,165680,258.38,257.98,258.8,257.8
34,2020-01-09 14:00:00+00:00,353385,257.92,257.78,258.68,257.58
35,2020-01-09 15:00:00+00:00,555872,257.79,257.99,258.03,257.01
36,2020-01-10 07:00:00+00:00,314385,257.91,257.45,258.21,256.88
37,2020-01-10 08:00:00+00:00,432989,257.42,258.87,259.25,257.13
38,2020-01-10 09:00:00+00:00,203287,258.88,258.7,259.1,258.43
39,2020-01-10 10:00:00+00:00,101840,258.7,258.05,258.79,258.0
40,2020-01-10 11:00:00+00:00,128339,258.05,258.14,258.47,257.7
41,2020-01-10 12:00:00+00:00,115953,258.13,258.07,258.57,257.9
42,2020-01-10 13:00:00+00:00,170602,258.04,257.76,258.13,257.43
43,2020-01-10 14:00:00+00:00,124717,257.73,257.93,258.3,257.47
44,2020-01-10 15:00:00+00:00,292053,257.85,258.19,258.26,257.62
45,2020-01-13 07:00:00+00:00,333684,258.21,258.87,258.93,257.15
46,2020-01-13 08:00:00+00:00,266870,258.89,258.46,259.4,258.1
47,2020-01-13 09:00:00+00:00,150960,258.4,258.91,259.4,258.25
48,2020-01-13 10:00:00+00:00,128309,258.98,258.9,259.0,258.51
49,2020-01-13 11:00:00+00:00,255023,258.9,258.98,259.83,258.72
50,2020-01-13 12:00:00+00:00,137249,258.92,258.72,259.42,258.5
51,2020-01-13 13:00:00+00:00,149175,258.72,259.84,259.96,258.72
52,2020-01-13 14:00:00+00:00,530235,259.86,260.89,261.16,259.86
53,2020-01-13 15:00:00+00:00,633485,260.9,262.4,262.4,260.14
54,2020-01-14 07:00:00+00:00,524369,262.58,261.92,263.22,261.15
55,2020-01-14 08:00:00+00:00,481562,261.93,260.31,261.95,259.93
56,2020-01-14 09:00:00+00:00,231203,260.34,260.88,261.2,260.2
57,2020-01-14 10:00:00+00:00,272123,260.9,260.88,261.63,260.5
58,2020-01-14 11:00:00+00:00,418461,260.9,259.55,260.92,259.04
59,2020-01-14 12:00:00+00:00,245134,259.55,259.35,259.6,258.62
60,2020-01-14 13:00:00+00:00,233212,259.3,259.59,259.99,258.81
61,2020-01-14 14:00:00+00:00,256487,259.58,259.28,260.04,259.07
62,2020-01-14 15:00:00+00:00,447162,259.25,259.05,260.0,259.05
63,2020-01-15 07:00:00+00:00,381877,258.45,257.78,258.91,257.34
64,2020-01-15 08:00:00+00:00,497598,257.8,257.66,258.0,256.31
65,2020-01-15 09:00:00+00:00,391329,257.65,258.04,258.39,257.5
66,2020-01-15 10:00:00+00:00,204288,258.04,257.58,258.48,257.18
67,2020-01-15 11:00:00+00:00,218465,257.6,257.4,258.33,256.93
68,2020-01-15 12:00:00+00:00,269291,257.4,256.83,257.7,256.73
69,2020-01-15 13:00:00+00:00,1387029,256.88,254.9,257.09,254.21
70,2020-01-15 14:00:00+00:00,946109,254.9,256.79,257.46,254.55
71,2020-01-15 15:00:00+00:00,636864,256.77,256.31,256.9,255.78
72,2020-01-16 07:00:00+00:00,850191,257.11,258.93,259.51,257.11
