,time,volume,open,close,high,low
0,2023-01-03 07:00:00+00:00,2109702,141.6,141.78,143.25,141.56
1,2023-01-04 07:00:00+00:00,1711274,141.85,141.43,142.28,140.75
2,2023-01-05 07:00:00+00:00,1724530,141.6,141.27,141.84,140.54
3,2023-01-06 07:00:00+00:00,1065760,141.39,141.4,141.62,140.9
4,2023-01-09 07:00:00+00:00,3144211,141.83,142.4,142.99,141.65
5,2023-01-10 07:00:00+00:00,2371818,142.1,142.81,142.85,141.31
6,2023-01-11 07:00:00+00:00,12314704,142.97,149.96,149.98,142.87
7,2023-01-12 07:00:00+00:00,4678930,150.02,149.3,150.79,148.39
8,2023-01-13 07:00:00+00:00,8852021,149.58,151.69,153.28,147.71
9,2023-01-16 07:00:00+00:00,5172683,152.89,153.71,154.0,151.88
10,2023-01-17 07:00:00+00:00,8440476,154.0,150.45,154.31,150.01
11,2023-01-18 07:00:00+00:00,6751196,150.4,151.47,153.0,149.41
12,2023-01-19 07:00:00+00:00,6681395,151.2,149.34,152.85,148.56
13,2023-01-20 07:00:00+00:00,4425482,149.7,151.38,151.4,148.64
14,2023-01-23 07:00:00+00:00,5519887,151.9,153.5,154.1,151.01
15,2023-01-24 07:00:00+00:00,7873413,153.95,152.66,155.58,152.28
16,2023-01-25 07:00:00+00:00,4337670,152.45,152.81,153.6,151.5
17,2023-01-26 07:00:00+00:00,4547834,153.32,152.4,154.3,151.73
18,2023-01-27 07:00:00+00:00,3412258,152.4,153.2,153.48,151.69
19,2023-01-30 07:00:00+00:00,3110498,153.5,153.38,153.88,152.21
20,2023-01-31 07:00:00+00:00,7788794,153.51,158.07,158.18,153.3
21,2023-02-01 07:00:00+00:00,6633220,158.2,158.29,159.6,156.5
22,2023-02-02 07:00:00+00:00,5386638,158.4,159.45,160.29,157.37
23,2023-02-03 07:00:00+00:00,6373312,159.1,161.26,162.32,157.88
24,2023-02-06 07:00:00+00:00,8908080,161.78,167.09,167.17,161.01
25,2023-02-07 07:00:00+00:00,9263827,167.3,165.39,168.7,163.4
26,2023-02-08 07:00:00+00:00,5866660,165.0,164.15,166.35,162.7
27,2023-02-09 07:00:00+00:00,10713207,164.33,165.31,167.47,161.27
28,2023-02-10 07:00:00+00:00,4092178,165.0,165.52,166.49,164.5
29,2023-02-13 07:00:00+00:00,3620934,165.2,164.32,166.88,164.17
30,2023-02-14 07:00:00+00:00,5882958,164.3,161.86,164.38,161.64
31,2023-02-15 07:00:00+00:00,11378716,160.94,156.25,161.12,153.83
32,2023-02-16 07:00:00+00:00,6852965,157.33,158.22,159.3,156.25
33,2023-02-17 07:00:00+00:00,5217314,158.0,159.73,160.38,156.91
34,2023-02-20 07:00:00+00:00,6396245,159.41,160.09,161.3,156.73
35,2023-02-21 07:00:00+00:00,12740553,160.66,164.15,165.65,159.26
36,2023-02-22 07:00:00+00:00,4376104,164.13,163.37,164.42,162.5
37,2023-02-24 07:00:00+00:00,3772404,163.33,164.3,165.5,163.1
38,2023-02-27 07:00:00+00:00,10008941,163.52,169.95,170.0,162.96
39,2023-02-28 07:00:00+00:00,8071143,170.5,169.82,171.92,168.37
40,2023-03-01 07:00:00+00:00,5375260,170.4,170.53,171.66,169.5
41,2023-03-02 07:00:00+00:00,8603857,170.4,168.05,170.4,166.55
42,2023-03-03 07:00:00+00:00,4953277,168.17,171.16,171.26,167.9
43,2023-03-06 07:00:00+00:00,6458162,172.14,171.84,172.99,171.35
44,2023-03-07 07:00:00+00:00,5524870,171.87,174.01,174.2,171.0
45,2023-03-09 07:00:00+00:00,8036873,174.85,172.55,174.89,172.21
46,2023-03-10 07:00:00+00:00,5023484,171.55,172.53,173.0,170.58
47,2023-03-13 07:00:00+00:00,7399070,172.5,172.15,173.9,169.26
48,2023-03-14 07:00:00+00:00,8930483,171.61,175.71,176.95,171.01
49,2023-03-15 07:00:00+00:00,7991060,176.0,175.3,177.37,173.59
50,2023-03-16 07:00:00+00:00,5150094,174.94,175.45,176.04,173.36
51,2023-03-17 07:00:00+00:00,38785459,183.0,193.59,193.66,178.56
52,2023-03-20 07:00:00+00:00,15667156,196.02,203.73,205.09,195.0
53,2023-03-21 07:00:00+00:00,12257927,204.76,203.32,208.0,201.25
